Unique Merchant SKU	Product Name	Product URL	Image URL	Current Price	Stock Availability	Condition	EAN	UPC	ISBN	MPN	Shipping Rate	Original Price	Coupon Code	Coupon Code Description	Manufacturer	Product Description	Product Type	Category	Category ID	Parent SKU	Parent Name	Top Seller Rank	Estimated Ship Date	Gender	Color	Material	Size	Size Unit of Measure	Age Range	Cell Phone Plan Type	Cell Phone Service Provider	Stock Description	Product Launch Date	Product Bullet Point 1	Product Bullet Point 2	Product Bullet Point 3	Product Bullet Point 4	Product Bullet Point 5	Alternative Image URL 1	Alternative Image URL 2	Alternative Image URL 3	Alternative Image URL 4	Alternative Image URL 5	Mobile URL	Related Products	Merchandising Type	Product Weight	Zip Code	Shipping Weight	Weight Unit of Measure	Format	Unit Price	Bundle	Software Platform	Watch Display Type	ProductBid	Text1	Text2	Text3	Numeric1	Numeric2	Numeric3	Money1	Money2	Money3	Currency	Shipping Region	Labels	Promotion
6713126	An Evening with Itzhak Perlman	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=6713126&u=https%3A%2F%2Fwww.vividseats.com%2Fitzhak-perlman-tickets-portland-arlene-schnitzer-concert-hall-1-26-2027--concerts-classical%2Fproduction%2F6713126%3Futm_term%3Dproduction-6713126&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/16-classical/classical-tickets-1.jpg	59.00														Concert																																							Arlene Schnitzer Concert Hall	Portland	1037 SW Broadway Dr, Portland, OR 97205	43.73	51.13		131.06	59.00	59.00	USD			
7194545	Andy Woodhull	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7194545&u=https%3A%2F%2Fwww.vividseats.com%2Fandy-woodhull-tickets-portland-helium-comedy-club---portland-10-4-2026--theater-comedy%2Fproduction%2F7194545%3Futm_term%3Dproduction-7194545&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/11-comedy/comedy-tickets-1.jpg	63.00														Theater																																							Helium Comedy Club - Portland	Portland	1510 SE 9th Ave, Portland, OR 97214	46.69	54.59		63.00	63.00	63.00	USD			
7054082	Angine de Poitrine	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7054082&u=https%3A%2F%2Fwww.vividseats.com%2Fangine-de-poitrine-tickets-portland-mcmenamins-crystal-ballroom-12-10-2026--concerts-rock%2Fproduction%2F7054082%3Futm_term%3Dproduction-7054082&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/18-rock/rock-tickets-1.jpg	252.00														Concert																																							McMenamins Crystal Ballroom	Portland	1332 West Burnside St, Portland, OR 97209	186.77	218.37		284.86	252.00	252.00	USD			
7035865	Angine de Poitrine	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7035865&u=https%3A%2F%2Fwww.vividseats.com%2Fangine-de-poitrine-tickets-portland-mcmenamins-crystal-ballroom-12-11-2026%2Fproduction%2F7035865%3Futm_term%3Dproduction-7035865&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/18-rock/rock-tickets-1.jpg	256.00														Concert																																							McMenamins Crystal Ballroom	Portland	1332 West Burnside St, Portland, OR 97209	189.73	221.84		268.58	256.00	256.00	USD			
6994361	Ann Wilson	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=6994361&u=https%3A%2F%2Fwww.vividseats.com%2Fann-wilson-tickets-ridgefield-ridgefield-playhouse-10-9-2026--concerts-rock%2Fproduction%2F6994361%3Futm_term%3Dproduction-6994361&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/18-rock/rock-tickets-1.jpg	123.00														Concert																																							Ridgefield Playhouse	Ridgefield	80 E Ridge Rd, Ridgefield, CT 06877	91.16	106.59		288.75	123.00	123.00	USD			
6994361	Ann Wilson	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=6994361&u=https%3A%2F%2Fwww.vividseats.com%2Fann-wilson-tickets-ridgefield-ridgefield-playhouse-10-9-2026--concerts-rock%2Fproduction%2F6994361%3Futm_term%3Dproduction-6994361&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/18-rock/rock-tickets-1.jpg	123.00														Concert																																							Ridgefield Playhouse	Ridgefield	80 E Ridge Rd, Ridgefield, CT 06877	91.16	106.59		288.75	123.00	123.00	USD			
7162764	Anna Graves	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7162764&u=https%3A%2F%2Fwww.vividseats.com%2Fanna-graves-tickets-portland-mississippi-studios-10-9-2026%2Fproduction%2F7162764%3Futm_term%3Dproduction-7162764&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/74-alternative/alternative-tickets-1.jpg	46.00														Concert																																							Mississippi Studios	Portland	3939 N Mississippi Ave, Portland, OR 97227	34.09	39.86		55.43	46.00	46.00	USD			
7017130	Anna von Hausswolff	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7017130&u=https%3A%2F%2Fwww.vividseats.com%2Fanna-von-hausswolff-tickets-portland-wonder-ballroom-1-11-2027%2Fproduction%2F7017130%3Futm_term%3Dproduction-7017130&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/17-pop/pop-tickets-1.jpg	75.00														Concert																																							Wonder Ballroom	Portland	128 NE Russell St, Portland, OR 97212	55.59	64.99		75.00	75.00	75.00	USD			
7213470	Annie	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7213470&u=https%3A%2F%2Fwww.vividseats.com%2Fannie-tickets-portland-winningstad-theatre-12-13-2026--theater-musical%2Fproduction%2F7213470%3Futm_term%3Dproduction-7213470&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/23-musical/musical-tickets-1.jpg	128.00														Theater																																							Winningstad Theatre	Portland	1111 SW. Broadway, Portland, OR 97205	94.87	110.92		128.00	128.00	128.00	USD			
7425240	Annie	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7425240&u=https%3A%2F%2Fwww.vividseats.com%2Fannie-tickets-portland-winningstad-theatre-11-29-2026--theater-musical%2Fproduction%2F7425240%3Futm_term%3Dproduction-7425240&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/23-musical/musical-tickets-1.jpg	128.00														Theater																																							Winningstad Theatre	Portland	1111 SW. Broadway, Portland, OR 97205	94.87	110.92		128.00	128.00	128.00	USD			
7425269	Annie	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7425269&u=https%3A%2F%2Fwww.vividseats.com%2Fannie-tickets-portland-winningstad-theatre-12-20-2026--theater-musical%2Fproduction%2F7425269%3Futm_term%3Dproduction-7425269&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/23-musical/musical-tickets-1.jpg	128.00														Theater																																							Winningstad Theatre	Portland	1111 SW. Broadway, Portland, OR 97205	94.87	110.92		128.00	128.00	128.00	USD			
7425260	Annie	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7425260&u=https%3A%2F%2Fwww.vividseats.com%2Fannie-tickets-portland-winningstad-theatre-12-18-2026--theater-musical%2Fproduction%2F7425260%3Futm_term%3Dproduction-7425260&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/23-musical/musical-tickets-1.jpg	128.00														Theater																																							Winningstad Theatre	Portland	1111 SW. Broadway, Portland, OR 97205	94.87	110.92		128.00	128.00	128.00	USD			
7425254	Annie	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7425254&u=https%3A%2F%2Fwww.vividseats.com%2Fannie-tickets-portland-winningstad-theatre-12-11-2026--theater-musical%2Fproduction%2F7425254%3Futm_term%3Dproduction-7425254&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/23-musical/musical-tickets-1.jpg	128.00														Theater																																							Winningstad Theatre	Portland	1111 SW. Broadway, Portland, OR 97205	94.87	110.92		128.00	128.00	128.00	USD			
7425250	Annie	https://vivid-seats.pxf.io/c/4969747/1017970/12730?prodsku=7425250&u=https%3A%2F%2Fwww.vividseats.com%2Fannie-tickets-portland-winningstad-theatre-12-5-2026--theater-musical%2Fproduction%2F7425250%3Futm_term%3Dproduction-7425250&intsrc=CATF_7904	https://media.vsstatic.com/image/upload/hero/category/23-musical/musical-tickets-1.jpg	128.00														Theater																																							Winningstad Theatre	Portland	1111 SW. Broadway, Portland, OR 97205	94.87	110.92		128.00	128.00	128.00	USD			
